################################################################################
IN SEQ: 	 b'cops in republican senate office violently assault disabled protesters ; reports of serious injuries'
PRED SEQ:	 b'here the main things the media needs to change when covering trump'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.49122506, 0.7870778, 8.616655e-05, 5.4512743e-06, 3.9552e-06, 0.000136775, 0.00012695778, 1.8023078e-05, 3.485317e-05, 0.00047880475, 2.5440881e-06, 2.7766528e-05, 3.6499273e-06, 0.00015014103, 0.37518567]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'reporter calls out trump to his face during w ##h press briefing for the whole world to see'
GOLD SEQ: 	 b'reporter calls out trump to his face during w ##h press briefing for the whole world to see'
PRED SEQ:	 b'reporter calls out trump to his face during w ##h press briefing for the whole world to see'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.29300693, 0.011470511, 0.018466102, 0.020816397, 0.002336754, 0.11535062, 0.040644597, 0.0010200047, 0.2802614, 0.3750712, 0.00037293156, 0.00019413058, 0.0016347598, 0.00037829674, 0.036215212, 0.018773425, 0.00056455686, 0.00037044022]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mitch mcconnell takes aim at trump for praising nazis'
GOLD SEQ: 	 b'mitch mcconnell takes aim at trump for praising nazis'
PRED SEQ:	 b'mitch mcconnell takes aim at trump for praising nazis'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00039581378, 0.0005060478, 0.048953198, 0.013359006, 0.00020392198, 0.0005827003, 0.017049968, 0.4485391, 0.24362838]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fe ##cal bacteria found in drinks at mcdonald ##s , burger king and k ##fc'
GOLD SEQ: 	 b'fe ##cal bacteria found in drinks at mcdonald ##s , burger king and k ##fc'
PRED SEQ:	 b'fe ##cal bacteria found in drinks at mcdonald ##s , burger king and k ##fc'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.33167294, 0.07372264, 0.011187713, 0.001516753, 0.00013915927, 0.6013641, 0.004554064, 0.008944167, 0.0023045945, 1.0190754e-05, 4.62749e-05, 9.456148e-05, 1.48739e-05, 0.00043814894, 0.00010957492]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'scar ##am ##ucci ##s wife just filed for divorce all because of donald trump ! ( t ##wee ##t )'
GOLD SEQ: 	 b'scar ##am ##ucci ##s wife just filed for divorce all because of donald trump ! ( t ##wee ##t )'
PRED SEQ:	 b'scar ##am ##ucci ##s wife filed for divorce all because of donald trump ! ( t ##wee ##t )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0029522744, 0.0012693051, 0.001277217, 0.0011024572, 0.008169947, 0.6469329, 3.0619125e-05, 6.5010972e-06, 3.8254388e-05, 0.13874999, 0.0020702004, 2.35148e-05, 3.486154e-05, 3.203355e-05, 0.0042361566, 0.0001452498, 4.9037964e-05, 0.0001427895, 7.902892e-05, 6.846498e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'how bush , clinton , obama handled north korea'
GOLD SEQ: 	 b'how bush , clinton , obama handled north korea'
PRED SEQ:	 b'how bush , clinton , obama said north korea'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0053334883, 0.0006557985, 2.234028e-05, 0.0005509477, 3.3508477e-05, 0.0025966368, 0.8444197, 0.0028605405, 0.00018174169]
GOLD TOK: 	 []
PRED TOK: 	 [['said']]
################################################################################
IN SEQ: 	 b'paul ryan bra ##gs about trump ##care giving people a choice to live or die ( video )'
GOLD SEQ: 	 b'paul ryan bra ##gs about trump ##care giving people a choice to live or die ( video )'
PRED SEQ:	 b'paul ryan bra ##gs about trump giving people a choice to live or die ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.5553878e-06, 1.3473632e-06, 0.27526063, 0.4477064, 6.924672e-05, 0.035298605, 0.9282935, 0.00027815398, 1.3609412e-06, 7.5021353e-07, 1.0129944e-06, 6.2685444e-07, 8.6712305e-07, 9.959444e-07, 1.3021e-06, 8.552702e-07, 2.8556024e-06, 6.7682487e-07]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'robert lee iv honors heather hey ##er , den ##oun ##ces racism at mtv video music awards ( video )'
GOLD SEQ: 	 b'robert lee iv honors heather hey ##er , den ##oun ##ces racism at mtv video music awards ( video )'
PRED SEQ:	 b'robert lee iv honors heather hey ##er , racism at mtv video music awards ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.6269184e-06, 2.578772e-06, 2.0065756e-05, 0.004680354, 1.7076158e-06, 8.932708e-07, 1.1407986e-06, 1.1498635e-06, 0.9662385, 0.95729655, 0.9803963, 0.012057391, 1.3863558e-06, 7.6409435e-07, 6.6450286e-07, 6.5437916e-07, 6.312638e-07, 6.5532595e-07, 9.477067e-07, 7.4221333e-07]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'top go ##p website makes creepy request of america ; here ##s what they want us to do to trump ( image )'
GOLD SEQ: 	 b'top go ##p website makes creepy request of america ; here ##s what they want us to do to trump ( image )'
PRED SEQ:	 b'top go ##p website makes request of america ; here ##s what they want us to do to trump ( image )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [7.746616e-06, 3.969881e-06, 2.4443355e-06, 7.667524e-06, 7.210229e-05, 0.9969048, 7.1534746e-06, 8.5612214e-07, 5.0933163e-06, 1.8799182e-06, 0.001615862, 0.0002420569, 1.2575429e-06, 1.0239785e-05, 1.5064126e-06, 6.347783e-06, 7.024334e-07, 9.820975e-07, 7.85129e-07, 2.7532606e-06, 1.1005874e-06, 9.953889e-06, 8.0826453e-07]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'charity database stops linking anti - lgbt ##q christian non - profits to sp ##lc hate list after staff ##ers threatened'
GOLD SEQ: 	 b'charity database stops linking anti - lgbt ##q christian non - profits to sp ##lc hate list after staff ##ers threatened'
PRED SEQ:	 b'charity database stops linking anti - profits christian non - profits to sp ##lc hate list after staff ##ers threatened'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [8.516747e-06, 5.878737e-06, 7.107476e-05, 5.129095e-05, 0.8189145, 0.8563397, 0.8776446, 0.91146976, 0.00024517984, 3.703645e-06, 1.5078888e-06, 9.499929e-06, 1.701416e-06, 4.0364025e-06, 3.7634327e-06, 0.0026508395, 1.3265072e-05, 9.1563725e-06, 7.169942e-06, 4.2169536e-06, 0.023101695]
GOLD TOK: 	 []
PRED TOK: 	 [['profits']]
################################################################################
IN SEQ: 	 b'latest time magazine cover will send trump into a jealous rage ; just wait for it'
GOLD SEQ: 	 b'latest time magazine cover will send trump into a jealous rage ; just wait for it'
PRED SEQ:	 b'latest time magazine cover will send trump into a rage ; just wait for it'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0499875, 3.9511102e-05, 2.7543623e-05, 0.0019902617, 0.3654504, 0.0005878589, 0.008832285, 1.729692e-05, 4.361887e-05, 0.28872922, 0.023456266, 3.0955027e-05, 0.01039723, 6.8826594e-06, 6.8128825e-06, 0.000119566415]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : trump ##s ho ##rri ##fying moscow deal discovered'
GOLD SEQ: 	 b'breaking : trump ##s ho ##rri ##fying moscow deal discovered'
PRED SEQ:	 b'breaking : trump ##s moscow deal discovered :'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [2.3108432e-06, 1.3825428e-06, 3.0122997e-06, 1.6579975e-06, 0.9998271, 0.99984765, 0.99976605, 3.2039677e-06, 2.302091e-06, 1.1307016e-05]
GOLD TOK: 	 []
PRED TOK: 	 [[':']]
################################################################################
IN SEQ: 	 b'president trump just thanked putin for re ##tal ##iating against the united states'
GOLD SEQ: 	 b'president trump just thanked putin for re ##tal ##iating against the united states'
PRED SEQ:	 b'president trump thanked putin for re ##tal ##iating against the united states'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [5.669017e-05, 2.720395e-05, 0.90444547, 0.0005656665, 0.00039459334, 1.693005e-05, 0.002339664, 0.0014965492, 0.0033281676, 0.00018243807, 6.5696304e-06, 1.2815784e-05, 4.8834427e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump and putin : two imp ##ulsive leaders fan the global flames'
GOLD SEQ: 	 b'trump and putin : two imp ##ulsive leaders fan the global flames'
PRED SEQ:	 b'trump and putin : two leaders fan the global flames'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00019591645, 1.5597994e-05, 9.8243196e-05, 0.00021169412, 0.011565921, 0.9013946, 0.7723654, 0.001807074, 0.006974596, 4.5984605e-05, 0.00010591889, 9.983649e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'treasury department fines ex ##xon ##mo ##bil for russia sanctions violations'
GOLD SEQ: 	 b'treasury department fines ex ##xon ##mo ##bil for russia sanctions violations'
PRED SEQ:	 b'treasury department involvement ex ##xon ##mo ##bil for russia'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.006790604, 0.010279977, 0.46682394, 0.00028643786, 0.00045160152, 0.0003739107, 0.00038189034, 0.010302752, 0.06050217, 0.14150256, 0.63744354]
GOLD TOK: 	 []
PRED TOK: 	 [['involvement']]
################################################################################
IN SEQ: 	 b'the ultimate lawsuit : trump will eventually fire special counsel robert mueller and a lawyer games out what will happen next'
GOLD SEQ: 	 b'the ultimate lawsuit : trump will eventually fire special counsel robert mueller and a lawyer games out what will happen next'
PRED SEQ:	 b'the ultimate lawsuit : trump will eventually fire special counsel robert mueller and a lawyer games out what will happen next'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0029434157, 0.30285066, 0.00043228146, 0.00034748524, 0.002451664, 0.0076322644, 0.07467274, 0.0029055066, 0.0008482468, 1.2363697e-05, 8.941775e-06, 1.323809e-05, 0.00017822524, 0.0119291665, 0.0021359741, 0.5698654, 0.015272842, 0.0003329212, 0.010249618, 0.000480446, 0.0029507237]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump butcher ##s names and titles of asian world leaders and gets dragged on twitter'
GOLD SEQ: 	 b'trump butcher ##s names and titles of asian world leaders and gets dragged on twitter'
PRED SEQ:	 b'trump names and titles of asian world leaders and gets dragged on twitter'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00047478115, 0.8405056, 0.5000512, 5.338415e-06, 1.5244503e-06, 3.7546893e-06, 1.1382698e-06, 3.94876e-05, 1.0732732e-05, 5.5983887e-06, 2.1072252e-05, 0.0017129291, 0.11760636, 2.570674e-06, 1.13401275e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump celebrates made in america week by making the most h ##yp ##oc ##rit ##ical move yet'
GOLD SEQ: 	 b'trump celebrates made in america week by making the most h ##yp ##oc ##rit ##ical move yet'
PRED SEQ:	 b'trump celebrates made in america week by making the most yet controversial move yet trump celebrates made in america week'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [3.4049308e-06, 3.458458e-05, 9.845263e-07, 8.6269443e-07, 9.857974e-07, 2.8512945e-06, 2.0991365e-06, 5.1398083e-06, 2.341501e-06, 3.860411e-05, 0.99949145, 0.9996524, 0.9995584, 0.9995857, 0.9986286, 9.303881e-06, 9.5210955e-05]
GOLD TOK: 	 []
PRED TOK: 	 [['yet', 'controversial'], ['trump', 'celebrates', 'made', 'in', 'america', 'week']]
################################################################################
IN SEQ: 	 b'shock video : this is exactly why every cop should wear a body camera'
GOLD SEQ: 	 b'shock video : this is exactly why every cop should wear a body camera'
PRED SEQ:	 b'shock video : this is exactly why every cop should wear a body camera'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.022065146, 0.0054802285, 0.00037915062, 0.03823909, 0.056901146, 0.40899637, 0.010209854, 0.015454628, 0.20219137, 0.07286239, 0.00052049226, 0.00025013427, 0.017298354, 0.0051754196]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : gavin news ##om issues brutal warning to trump in the most class ##y way'
GOLD SEQ: 	 b'watch : gavin news ##om issues brutal warning to trump in the most class ##y way'
PRED SEQ:	 b'watch : gavin news ##om issues warning to trump in the most class ##y way'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [4.4749177e-05, 2.084806e-05, 5.216453e-06, 3.3257772e-06, 4.8067927e-06, 0.0010547212, 0.9836949, 0.00033911434, 3.0005642e-06, 4.0151663e-05, 5.9926433e-06, 6.449873e-06, 0.00012316888, 0.004371054, 0.0019242192, 0.00016574739]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'chris christie issues statement about getting in baseball fans face , says he was very restrained'
GOLD SEQ: 	 b'chris christie issues statement about getting in baseball fans face , says he was very restrained'
PRED SEQ:	 b'chris christie issues statement about getting in baseball fans face , says he was restrained restrained'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00082891434, 0.0005759202, 0.27226806, 0.17066944, 0.00018748146, 0.0027925824, 0.00013731273, 0.0025084168, 0.0020968574, 0.04811526, 6.515019e-05, 0.16204274, 0.0015627467, 0.0055842134, 0.2212804, 0.024328426]
GOLD TOK: 	 []
PRED TOK: 	 [['restrained']]
################################################################################
IN SEQ: 	 b'az trump ##kin threatens to run over protesters and gets dealt a giant dose of karma'
GOLD SEQ: 	 b'az trump ##kin threatens to run over protesters and gets dealt a giant dose of karma'
PRED SEQ:	 b'az trump ##kin threatens to run over protesters and gets dealt a dose of karma'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.012165483, 0.0057570743, 0.0138654215, 0.07004946, 0.00011297477, 0.00039185016, 0.00023834141, 0.01226697, 0.0017080388, 0.028618012, 0.004658264, 0.00037219035, 0.51063836, 0.027136035, 0.0005882476, 0.26158613]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'former italian prime minister reveals the one thing he likes about trump and its classic ( video )'
GOLD SEQ: 	 b'former italian prime minister reveals the one thing he likes about trump and its classic ( video )'
PRED SEQ:	 b'former italian prime minister reveals the one thing he likes about trump and its ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0005514265, 0.00041471762, 3.816642e-05, 4.541822e-05, 0.1711569, 0.0013693409, 0.01797784, 0.002758543, 0.0017337076, 0.0076707867, 2.8563338e-05, 0.00012681368, 2.8275574e-05, 0.008607642, 0.68492377, 8.4571984e-05, 0.0005089743, 1.1689859e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fourth grade ##r makes heartbreak ##ing video about racist classmates calling her nut ##ella and servant'
GOLD SEQ: 	 b'fourth grade ##r makes heartbreak ##ing video about racist classmates calling her nut ##ella and servant'
PRED SEQ:	 b'fourth grade ##r makes video about racist classmates calling her nut ##ella and servant'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.2919375e-06, 2.2329766e-06, 1.3088154e-06, 1.4888185e-06, 0.99968195, 0.99964225, 1.5759285e-06, 8.206515e-07, 9.841759e-05, 1.917874e-06, 7.814985e-07, 1.0389747e-06, 1.8630165e-06, 1.1059786e-06, 6.730235e-07, 6.4845285e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : worlds most famous journalist makes ho ##rri ##fying prediction about america'
GOLD SEQ: 	 b'breaking : worlds most famous journalist makes ho ##rri ##fying prediction about america'
PRED SEQ:	 b'breaking : worlds most famous journalist makes prediction about america'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [5.306877e-06, 6.174873e-06, 4.100302e-05, 5.741719e-06, 2.5663418e-05, 2.3246994e-05, 8.1074184e-05, 0.9982482, 0.99878937, 0.99866533, 7.456596e-05, 5.244366e-06, 9.749151e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump made up fake quote on a monument at his golf course for a war that never happened'
GOLD SEQ: 	 b'trump made up fake quote on a monument at his golf course for a war that never happened'
PRED SEQ:	 b'trump made up a monument on a monument at his golf course for a war that never happened that never happened'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [9.080161e-05, 0.00020801554, 4.5255783e-05, 0.9426261, 1.9372197e-05, 3.447358e-06, 3.6417216e-06, 1.0514822e-05, 2.3896332e-06, 1.7394881e-05, 6.247767e-06, 4.866548e-06, 5.513268e-05, 8.36482e-06, 2.585675e-05, 1.0065961e-05, 0.00011224383, 2.3818246e-05]
GOLD TOK: 	 []
PRED TOK: 	 [['a', 'monument'], ['that', 'never', 'happened']]
################################################################################
IN SEQ: 	 b'first female marine f - 18 pilot announces her new mission to save obama ##care in congress'
GOLD SEQ: 	 b'first female marine f - 18 pilot announces her new mission to save obama ##care in congress'
PRED SEQ:	 b'first female marine f - 18 pilot announces her new mission to save save ##rs in congress'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.2064738e-05, 6.661919e-05, 7.930206e-06, 1.9179436e-06, 1.0479077e-06, 1.4143869e-06, 2.3986563e-06, 4.0804866e-06, 3.0536871e-06, 2.5065165e-06, 2.179678e-06, 1.1541339e-06, 0.0016315054, 0.96692544, 0.99442214, 0.0012660281, 0.00017884387]
GOLD TOK: 	 []
PRED TOK: 	 [['save', '##rs']]
################################################################################
IN SEQ: 	 b"racism is rising in macro ##n ' s france , a plague as deep as the origins of the french republic itself"
GOLD SEQ: 	 b"racism is rising in macro ##n ' s france , a plague as deep as the origins of the french republic itself"
PRED SEQ:	 b"racism is rising in macro ##n ' s france , a plague as deep as the origins of the french republic itself"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.14499515, 0.0725281, 0.08375998, 0.0005754506, 0.010855405, 0.00045233054, 0.0003111689, 0.016667886, 0.01685489, 7.043526e-05, 0.045529068, 0.19403525, 0.0018167883, 0.10452106, 0.00019929426, 0.00022858294, 0.0007779177, 1.1829617e-05, 2.3310617e-05, 0.0003998147, 0.0008880418, 0.024183434]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'new york times : trump ##s family involved in treason ##ous actions to win election'
GOLD SEQ: 	 b'new york times : trump ##s family involved in treason ##ous actions to win election'
PRED SEQ:	 b'new york times : trump ##s family involved in actions to win election'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
