################################################################################
IN SEQ: 	 b'cops in republican senate office assault disabled protesters ; reports of serious injuries'
PRED DIST: 	 [0.04995259, 0.07675343, 0.10938278, 0.16549462, 0.19054344, 0.30093187, 0.19976886, 0.22230533, 0.13236448, 0.12662031, 0.39451492, 0.24217585, 0.19736542, 0.17008474, 0.17193231, 0.05454208, 0.14116544, 0.21087496]
GOLD TOK: 	 []
PRED TOK: 	 [['the']]
################################################################################
IN SEQ: 	 b'mitch mcconnell takes aim at trump for praising nazis'
GOLD SEQ: 	 b'mitch mcconnell takes aim at trump for praising nazis'
PRED SEQ:	 b'mitch mcconnell takes aim at trump for praising the'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.2133564, -0.04952973, 0.039103553, 0.21699813, 0.26421484, 0.16111985, 0.13199775, 0.18051305, 0.1512424]
GOLD TOK: 	 []
PRED TOK: 	 [['the']]
################################################################################
IN SEQ: 	 b'fe ##cal bacteria found in drinks at mcdonald ##s , burger king and k ##fc'
GOLD SEQ: 	 b'fe ##cal bacteria found in drinks at mcdonald ##s , burger king and k ##fc'
PRED SEQ:	 b'bacteria found in fe ##cal bacteria found in drinks at mcdonald ##s , burger king and k ##fc'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.32556677, 0.39460188, 0.27004904, 0.36488447, 0.28367388, 0.23715596, 0.30807066, 0.26724702, 0.20053342, 0.20923781, 0.33945477, 0.14270113, 0.18826096, 0.16245267, 0.30799806]
GOLD TOK: 	 []
PRED TOK: 	 [['bacteria', 'found', 'in']]
################################################################################
IN SEQ: 	 b'scar ##am ##ucci ##s wife filed for divorce all because of donald trump ! ( t ##wee ##t )'
GOLD SEQ: 	 b'scar ##am ##ucci ##s wife just filed for divorce all because of donald trump ! ( t ##wee ##t )'
PRED SEQ:	 b'scar ##ucci ##s wife filed for divorce all because of donald trump ! ( t ##wee ##t )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.026251733, 0.12777011, 0.14702567, -0.018620238, 0.108500436, 0.078490496, 0.16234013, 0.017906025, -0.00705719, 0.0529897, 0.13289356, 0.23110342, 0.1206387, -0.16644624, -0.066194475, -0.39060345, -0.34357497, -0.43802026, -0.41349506]
GOLD TOK: 	 [['just']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'how bush , clinton , obama said north korea'
GOLD SEQ: 	 b'how bush , clinton , obama handled north korea'
PRED SEQ:	 b'how bush , clinton , obama'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [-0.029627398, -0.06855435, 0.12669605, -0.018559799, 0.18095468, -0.058828816, 0.013798431, 0.15539306, -0.068765655]
GOLD TOK: 	 [['handled']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'paul ryan bra ##gs about trump giving people a choice to live or die ( video )'
GOLD SEQ: 	 b'paul ryan bra ##gs about trump ##care giving people a choice to live or die ( video )'
PRED SEQ:	 b'paul ryan claims about trump giving people a choice to live or die ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.0049669594, -0.17323186, -0.18162549, -0.06507963, 0.1646293, 0.2027222, 0.19447944, 0.026738822, 0.3359, 0.37462533, 0.11700371, 0.078323536, -0.05608502, 0.19793905, 0.07800159, -0.18370505, 0.11861102]
GOLD TOK: 	 [['##care']]
PRED TOK: 	 [['claims']]
################################################################################
IN SEQ: 	 b'robert lee iv honors heather hey ##er , racism at mtv video music awards ( video )'
GOLD SEQ: 	 b'robert lee iv honors heather hey ##er , den ##oun ##ces racism at mtv video music awards ( video )'
PRED SEQ:	 b'robert lee iv honors heather hey ##er , campaign at mtv video music awards ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.14457703, 0.3038677, 0.09501517, 0.14092392, 0.29432875, 0.18683933, 0.38762155, 0.4342711, 0.09018205, 0.27813867, 0.10736612, 0.130216, 0.19123517, 0.09442257, 0.33933568, 0.14402863, 0.16315153]
GOLD TOK: 	 [['den', '##oun', '##ces']]
PRED TOK: 	 [['campaign']]
################################################################################
IN SEQ: 	 b'top go ##p website makes request of america ; here ##s what they want us to do to trump ( image )'
GOLD SEQ: 	 b'top go ##p website makes creepy request of america ; here ##s what they want us to do to trump ( image )'
PRED SEQ:	 b'top go ##p website makes request of america ; here ##s what they want us to do to trump ( image )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0080377385, 0.010926012, -0.027367726, -0.016509525, -0.016673252, 0.35651138, 0.017118692, 0.26991853, -0.1033656, -0.01624728, -0.18886925, 0.07947763, 0.13171282, 0.18158245, -0.28475168, -0.004969299, 0.13223895, 0.10427488, 0.12047832, 0.28415275, 0.055222966, 0.21375412]
GOLD TOK: 	 [['creepy']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'charity database stops linking anti - profits christian non - profits to sp ##lc hate list after staff ##ers threatened'
GOLD SEQ: 	 b'charity database stops linking anti - lgbt ##q christian non - profits to sp ##lc hate list after staff ##ers threatened'
PRED SEQ:	 b'charity database stops linking anti - profits christian non - profits to sp ##lc list after staff ##ers threatened'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.011428725, 0.1430996, 0.13742995, 0.38179618, 0.40440106, 0.12911534, 0.18699183, 0.33281714, 0.2553317, 0.049839646, 0.08560492, 0.25339428, 0.13014564, 0.01951848, 0.15827183, 0.20437762, 0.16517717, 0.39519942, -0.012004226, 0.07862399]
GOLD TOK: 	 [['lgbt', '##q']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'latest time magazine cover will send trump into a rage ; just wait for it'
GOLD SEQ: 	 b'latest time magazine cover will send trump into a jealous rage ; just wait for it'
PRED SEQ:	 b'latest time magazine cover will send trump into a game ; just wait for it'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.023442999, 0.11718148, 0.025858887, 0.10258292, 0.04447117, 0.11767353, 0.032655306, -0.17464115, 0.061865024, 0.11590179, -0.18019433, 0.019271903, 0.3054484, 0.0338502, 0.0682874]
GOLD TOK: 	 [['jealous']]
PRED TOK: 	 [['game']]
################################################################################
IN SEQ: 	 b'breaking : trump ##s moscow deal discovered :'
GOLD SEQ: 	 b'breaking : trump ##s ho ##rri ##fying moscow deal discovered'
PRED SEQ:	 b'breaking : trump ##s moscow deal'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [-0.12183452, -0.24236476, -0.3004626, -0.15679547, 0.010560453, -0.090828344, -0.016540274, -0.2611527]
GOLD TOK: 	 [['ho', '##rri', '##fying']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'president trump thanked putin for re ##tal ##iating against the united states'
GOLD SEQ: 	 b'president trump just thanked putin for re ##tal ##iating against the united states'
PRED SEQ:	 b'president trump thanked putin for re ##tal ##iating against the united states'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.031680465, -0.00925155, 0.2313364, -0.024179995, 0.07795265, 0.14836411, 0.30007356, 0.039242446, 0.06891835, -0.06335523, 0.010864817, 0.062171787]
GOLD TOK: 	 [['just']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump and putin : two leaders fan the global flames'
GOLD SEQ: 	 b'trump and putin : two imp ##ulsive leaders fan the global flames'
PRED SEQ:	 b'trump and putin : two leaders in the global flames'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.12078887, -0.14844902, -0.025030658, -0.102008104, -0.057507373, 0.20622621, 0.16111949, 0.2745018, 0.28501678, 0.07001358]
GOLD TOK: 	 [['imp', '##ulsive']]
PRED TOK: 	 [['in']]
################################################################################
IN SEQ: 	 b'treasury department involvement ex ##xon ##mo ##bil for russia'
GOLD SEQ: 	 b'treasury department fines ex ##xon ##mo ##bil for russia sanctions violations'
PRED SEQ:	 b'treasury department control in ex ##xon ##mo ##bil for russia'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.41166806, 0.51401865, 0.41852468, 0.32266906, 0.38954502, 0.4511827, 0.22618373, 0.33043087, 0.37968057]
GOLD TOK: 	 [['fines'], ['sanctions', 'violations']]
PRED TOK: 	 [['control', 'in']]
################################################################################
IN SEQ: 	 b'the ultimate lawsuit : trump will eventually fire special counsel robert mueller and a lawyer games out what will happen next'
GOLD SEQ: 	 b'the ultimate lawsuit : trump will eventually fire special counsel robert mueller and a lawyer games out what will happen next'
PRED SEQ:	 b'the ultimate lawsuit : trump will eventually fire special counsel robert mueller and a lawyer games out what will happen next'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.1334703, 0.083331876, 0.0074713677, 0.09607577, -0.057643123, -0.0524538, -0.20319767, 0.17272346, 0.1097235, -0.12445956, 0.29758886, -0.30839872, -0.10451092, 0.07073969, -0.16231506, -0.48835707, -0.27179927, -0.19314781, -0.32912618, -0.10366008, -0.304762]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump names and titles of asian world leaders and gets dragged on twitter'
GOLD SEQ: 	 b'trump butcher ##s names and titles of asian world leaders and gets dragged on twitter'
PRED SEQ:	 b'trump names and titles of asian world leaders and gets changed on twitter'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.14831972, 0.21818009, 0.021547548, 0.25530463, 0.2246553, 0.24631655, 0.2766487, 0.14495072, -0.06222317, -0.13270898, -0.06634598, -0.22409405, -0.000703156]
GOLD TOK: 	 [['butcher', '##s']]
PRED TOK: 	 [['changed']]
################################################################################
IN SEQ: 	 b'trump celebrates made in america week by making the most yet controversial move yet trump celebrates made in america week'
GOLD SEQ: 	 b'trump celebrates made in america week by making the most h ##yp ##oc ##rit ##ical move yet'
PRED SEQ:	 b'trump celebrates made in america week by making the most yet controversial move yet trump celebrates made in america week'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [-0.028675914, -0.0022601336, 0.0050679073, 0.0793383, 0.29756838, 0.2752878, 0.32845265, 0.29068586, 0.605329, 0.3733709, 0.4182613, 0.3332367, 0.32633084, 0.25561804, 0.13183549, -0.017354727, 0.03058479, 0.10266349, 0.38756326, 0.30731773]
GOLD TOK: 	 [['h', '##yp', '##oc', '##rit', '##ical']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'shock video : this is exactly why every cop should wear a body camera'
GOLD SEQ: 	 b'shock video : this is exactly why every cop should wear a body camera'
PRED SEQ:	 b'shock video : this is exactly why every cop should wear a body camera'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.0147587955, -0.0025618821, 0.021868274, 0.062210537, -0.06606273, -0.043291934, -0.06265794, 0.024517536, -0.24482414, -0.050607316, -0.084656745, -0.13241473, -0.22187553, -0.12812652]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : gavin news ##om issues warning to trump in the most class ##y way'
GOLD SEQ: 	 b'watch : gavin news ##om issues brutal warning to trump in the most class ##y way'
PRED SEQ:	 b'watch : gavin news ##om issues warning to trump in the most conservative way'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.025624849, 0.13813376, 0.23321787, 0.16207713, 0.21257722, -0.011958972, 0.05529818, 0.052445095, 0.08753382, -0.1759659, 0.05342622, 0.03314157, 0.024455585, -0.101028085, -0.046805277]
GOLD TOK: 	 [['brutal']]
PRED TOK: 	 [['conservative']]
################################################################################
IN SEQ: 	 b'chris christie issues statement about getting in baseball fans face , says he was restrained restrained'
GOLD SEQ: 	 b'chris christie issues statement about getting in baseball fans face , says he was very restrained'
PRED SEQ:	 b'chris christie issues statement about getting in baseball fans face , and he was restrained'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.32149532, 0.35191652, 0.31125927, 0.30465937, 0.14107186, -0.043614037, -0.2354492, 0.0038774107, 0.0258165, 0.06901826, 0.23693676, 0.10573614, 0.20202865, -0.059496127, 0.063009515, 0.22551137]
GOLD TOK: 	 [['very']]
PRED TOK: 	 [['and']]
################################################################################
IN SEQ: 	 b'az trump ##kin threatens to run over protesters and gets dealt a dose of karma'
GOLD SEQ: 	 b'az trump ##kin threatens to run over protesters and gets dealt a giant dose of karma'
PRED SEQ:	 b'az trump ##kin threatens to run over protesters and gets dealt a dose of karma'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.11631336, -0.39912397, -0.16641115, -0.32103163, -0.16937208, -0.19641885, -0.45819664, -0.3076371, -0.22179772, -0.33312607, -0.21188475, -0.00019460917, -0.019073471, -0.12938805, -0.25071567]
GOLD TOK: 	 [['giant']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'former italian prime minister reveals the one thing he likes about trump and its ( video )'
GOLD SEQ: 	 b'former italian prime minister reveals the one thing he likes about trump and its classic ( video )'
PRED SEQ:	 b'former italian prime minister reveals the one thing he likes about trump and its ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.22179914, 0.42869195, 0.5221343, 0.17457342, 0.31293106, 0.12582575, 0.3467427, 0.099155456, 0.2334245, 0.169276, -0.017117053, 0.08520335, -0.12539446, 0.09243108, 0.16601115, -0.20404156, 0.19852224]
GOLD TOK: 	 [['classic']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fourth grade ##r makes video about racist classmates calling her nut ##ella and servant'
GOLD SEQ: 	 b'fourth grade ##r makes heartbreak ##ing video about racist classmates calling her nut ##ella and servant'
PRED SEQ:	 b'fourth grade ##r makes video about classmates calling her nut ##ella and servant'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.22367305, 0.12975119, 0.034033574, 0.093064815, 0.13561903, 0.19997802, 0.19219291, 0.06822502, -0.021756098, -0.061747387, 0.31129995, 0.09989365, 0.055937555, 0.31282598]
GOLD TOK: 	 [['heartbreak', '##ing']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : worlds most famous journalist makes prediction about america'
GOLD SEQ: 	 b'breaking : worlds most famous journalist makes ho ##rri ##fying prediction about america'
PRED SEQ:	 b'breaking : worlds most famous journalist makes a prediction about america'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.2526557, 0.218783, 0.35843825, 0.48213997, 0.44398823, 0.29498613, 0.15553272, 0.34548938, 0.24625784, 0.30536014]
GOLD TOK: 	 [['ho', '##rri', '##fying']]
PRED TOK: 	 [['a']]
################################################################################
IN SEQ: 	 b'trump made up a monument on a monument at his golf course for a war that never happened that never happened'
GOLD SEQ: 	 b'trump made up fake quote on a monument at his golf course for a war that never happened'
PRED SEQ:	 b'trump made up a monument on a monument at his golf course for a war that never happened that never happened'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.08637131, -0.016992144, -0.14178365, 0.109029464, 0.067303, -0.11661533, 0.27920657, 0.11999631, 0.35516757, 0.06094142, -0.04602842, 0.0074816644, 0.31367716, 0.33981583, 0.24534875, -0.03395, 0.03204313, 0.14332952, 0.10679503, 0.07114529, 0.12248103]
GOLD TOK: 	 [['fake', 'quote']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'first female marine f - 18 pilot announces her new mission to save save ##rs in congress'
GOLD SEQ: 	 b'first female marine f - 18 pilot announces her new mission to save obama ##care in congress'
PRED SEQ:	 b'first female marine f - 18 pilot announces her new mission to save save ##rs in congress'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.20570725, 0.4079076, 0.2397882, -0.0025680736, -0.033812415, -0.18195832, 0.15694155, 0.20956656, 0.248665, 0.2745182, 0.19347864, 0.117194444, 0.08093184, -0.018561274, -0.12572986, 0.021398187, 0.045778267]
GOLD TOK: 	 [['obama', '##care']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"racism is rising in macro ##n ' s france , a plague as deep as the origins of the french republic itself"
GOLD SEQ: 	 b"racism is rising in macro ##n ' s france , a plague as deep as the origins of the french republic itself"
PRED SEQ:	 b"racism is rising in macro ##n ' s france , a plague as deep as the origins of the french republic itself"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.027225606, 0.09245921, 0.15206304, 0.05619064, 0.15542509, -0.053392246, 0.14093463, 0.24015965, 0.23841938, 0.2656932, 0.1639207, 0.16975008, -0.052306637, 0.0371105, 0.0023277998, 0.11499157, 0.012501143, 0.005266875, 0.13895628, 0.16607368, 0.12262793, 0.16271847]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'new york times : trump ##s family involved in actions to win election'
GOLD SEQ: 	 b'new york times : trump ##s family involved in treason ##ous actions to win election'
PRED SEQ:	 b'new york times : trump ##s family involved in actions to win election'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.17288373, 0.40709314, -0.028606147, 0.20607935, 0.2951045, 0.14460073, 0.2216861, 0.24066216, -0.050846975, 0.0704729, 0.035885345, 0.07938208, 0.10563532]
GOLD TOK: 	 [['treason', '##ous']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'remember eric trump ? he must have been feeling left out lately , keith ol ##berman ##n stated that it for him'
GOLD SEQ: 	 b'remember eric trump ? he must have been feeling left out lately , keith ol ##berman ##n scratched that it ##ch for him'
PRED SEQ:	 b'remember eric trump ? he must have been feeling left out lately , keith ol ##berman ##n stated that it for him'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.23209202, 0.2886371, 0.12623559, 0.16552897, 0.20315768, 0.01568386, 0.012044739, 0.082120255, 0.21923874, -0.014558628, -0.19796059, 0.09306542, 0.35267952, 0.24106404, 0.08253488, 0.13447042, 0.082783915, 0.21652327, 0.17366377, 0.08090102, 0.13731992, 0.14085186]
GOLD TOK: 	 [['scratched'], ['##ch']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fox news has a defense for go ##p health care bill'
GOLD SEQ: 	 b'fox news has a bizarre defense for go ##p health care bill'
PRED SEQ:	 b'fox news has a campaign for go ##p health care bill'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.20098358, 0.09993054, 0.20554456, 0.36220944, 0.34730944, 0.36056203, 0.3186965, 0.28445637, 0.35507703, 0.38266194, 0.47407517]
GOLD TOK: 	 [['bizarre']]
PRED TOK: 	 [['campaign']]
################################################################################
IN SEQ: 	 b'trump just took another shot at mcconnell as go ##p civil war heats up ( t ##wee ##ts )'
