################################################################################
IN SEQ: 	 b'cops in republican senate office violently assault disabled protesters ; reports of serious injuries'
PRED DIST: 	 [-0.4508393, -0.4488091, -0.037773788, 0.11999899, 0.3381591, 0.13299987, 0.0018223077, 0.012587324, -0.1902482, -0.2768277, -0.014727458, 0.062662706, -0.11690852, -0.11479406, -0.41856322]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'reporter calls out trump to his face during w ##h press briefing for the whole world to see'
GOLD SEQ: 	 b'reporter calls out trump to his face during w ##h press briefing for the whole world to see'
PRED SEQ:	 b'reporter calls out trump to his face during the press briefing for the whole world to see'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.13182172, 0.093885124, 0.17701226, 0.08422412, 0.1334256, 0.075694844, 0.0052001327, 0.29609674, -0.24098855, -0.091375455, 0.0054027196, 0.12283807, 0.028114418, 0.22226167, 0.0022052974, 0.028531108, 0.034384064, 0.062244255]
GOLD TOK: 	 []
PRED TOK: 	 [['the']]
################################################################################
IN SEQ: 	 b'mitch mcconnell takes aim at trump for praising nazis'
GOLD SEQ: 	 b'mitch mcconnell takes aim at trump for praising nazis'
PRED SEQ:	 b'mitch mcconnell takes aim at trump for praising the'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.033535957, -0.059082955, 0.14889288, 0.20812568, 0.105403304, -0.09580009, 0.093734786, 0.105632864, 0.30552056]
GOLD TOK: 	 []
PRED TOK: 	 [['the']]
################################################################################
IN SEQ: 	 b'fe ##cal bacteria found in drinks at mcdonald ##s , burger king and k ##fc'
GOLD SEQ: 	 b'fe ##cal bacteria found in drinks at mcdonald ##s , burger king and k ##fc'
PRED SEQ:	 b'bacteria found in fe ##cal bacteria found in drinks at mcdonald ##s , burger king and k ##fc'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.12675142, 0.29642004, 0.16872242, 0.2692616, 0.43936363, 0.18507749, 0.1261678, 0.2803702, 0.2982763, 0.3548044, 0.24816626, 0.2359465, 0.28342772, 0.11977929, 0.21809375]
GOLD TOK: 	 []
PRED TOK: 	 [['bacteria', 'found', 'in']]
################################################################################
IN SEQ: 	 b'scar ##am ##ucci ##s wife just filed for divorce all because of donald trump ! ( t ##wee ##t )'
GOLD SEQ: 	 b'scar ##am ##ucci ##s wife just filed for divorce all because of donald trump ! ( t ##wee ##t )'
PRED SEQ:	 b'scar ##am ##ucci ##s wife filed for divorce all because of donald trump ! ( t ##wee ##t )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.0029423237, -0.1336343, 0.104765005, 0.010834038, 0.086832896, -0.057733968, -0.09115708, -0.37806845, -0.021850012, 0.028730467, -0.26461405, -0.25107193, -0.34011862, -0.3712266, -0.3752343, -0.12460579, 0.13973525, -0.06826957, 0.09217411, 0.19462074]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'how bush , clinton , obama handled north korea'
GOLD SEQ: 	 b'how bush , clinton , obama handled north korea'
PRED SEQ:	 b'how bush , clinton , obama has been north korea'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.056709573, -0.09560411, -0.36215898, 0.018900616, -0.2830698, 0.0015627891, -0.19986455, -0.028932959, -0.009345893]
GOLD TOK: 	 []
PRED TOK: 	 [['has', 'been']]
################################################################################
IN SEQ: 	 b'paul ryan bra ##gs about trump ##care giving people a choice to live or die ( video )'
GOLD SEQ: 	 b'paul ryan bra ##gs about trump ##care giving people a choice to live or die ( video )'
PRED SEQ:	 b'paul ryan bra ##gs about giving people a choice to live or die ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.025007859, 0.1257637, 0.06936395, -0.123057455, -0.05365787, 0.015330292, -0.048807763, -0.18193023, -0.14773786, -0.00305783, 0.062670514, -0.06240475, 0.06224352, -0.051482514, -0.003342919, -0.106787935, 0.17251262, 0.30055195]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'robert lee iv honors heather hey ##er , den ##oun ##ces racism at mtv video music awards ( video )'
GOLD SEQ: 	 b'robert lee iv honors heather hey ##er , den ##oun ##ces racism at mtv video music awards ( video )'
PRED SEQ:	 b'robert lee iv honors heather hey ##er , den ##oun ##ces racism at mtv video music awards ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.14725521, 0.1326944, 0.28505418, 0.22672275, 0.11955015, 0.2468079, 0.39478767, 0.29767635, 0.44014242, 0.28310564, 0.31183025, 0.44551274, 0.36744457, 0.09606281, 0.43250793, 0.32202035, 0.17524934, 0.3607924, 0.37188888, 0.55865824]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'top go ##p website makes creepy request of america ; here ##s what they want us to do to trump ( image )'
GOLD SEQ: 	 b'top go ##p website makes creepy request of america ; here ##s what they want us to do to trump ( image )'
PRED SEQ:	 b'top go ##p website makes request of america ; here ##s what they want us to do to trump ( image )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.04012929, -0.19597149, -0.050657377, 0.02488111, 0.26230407, 0.29171622, 0.15061988, 0.20677039, -0.18280545, 0.005505264, 0.45364937, 0.18541288, 0.26154357, 0.0421132, 0.24699393, -0.24108438, 0.10730572, -0.0724151, -0.045158908, -0.10531197, -0.057073362, 0.1375085, 0.12993246]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'charity database stops linking anti - lgbt ##q christian non - profits to sp ##lc hate list after staff ##ers threatened'
GOLD SEQ: 	 b'charity database stops linking anti - lgbt ##q christian non - profits to sp ##lc hate list after staff ##ers threatened'
PRED SEQ:	 b'charity database stops linking anti - lgbt ##q christian non - profits to sp ##lc hate list after staff ##ers threatened'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.09473635, 0.22074455, 0.17069757, 0.17182639, 0.19676137, 0.17607766, -0.04918471, 0.4010862, 0.40326697, 0.5237153, 0.3293456, -0.035131864, 0.13636367, 0.039936762, 0.05229681, 0.2362884, 0.15097976, 0.08642062, 0.20652008, 0.32866278, 0.21163595]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'latest time magazine cover will send trump into a jealous rage ; just wait for it'
GOLD SEQ: 	 b'latest time magazine cover will send trump into a jealous rage ; just wait for it'
PRED SEQ:	 b'latest time magazine cover will send trump into a jealous rage ; just wait for it'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.047216102, -0.05916913, -0.046577126, 0.10065521, 0.021104425, 0.18146732, -0.24152313, 0.04905247, 0.28416362, 0.30985188, 0.063387595, -0.086031705, 0.058282882, 0.1664941, -0.009028584, 0.1556693]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : trump ##s ho ##rri ##fying moscow deal discovered'
GOLD SEQ: 	 b'breaking : trump ##s ho ##rri ##fying moscow deal discovered'
PRED SEQ:	 b'breaking : trump ##s moscow deal discovered'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.287113, 0.065976575, -0.3617033, -0.2007615, 0.091387734, 0.16068667, 0.083792314, -0.10516484, -0.09959439, 0.10069207]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'president trump just thanked putin for re ##tal ##iating against the united states'
GOLD SEQ: 	 b'president trump just thanked putin for re ##tal ##iating against the united states'
PRED SEQ:	 b'president trump just thanked putin for re ##tal ##iating against the united states'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.47640514, 0.31310463, 0.30001777, 0.3286098, 0.19706056, 0.20210457, 0.18566228, 0.14826268, 0.06895182, 0.13445257, 0.27989596, 0.25037375, 0.14827922]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump and putin : two imp ##ulsive leaders fan the global flames'
GOLD SEQ: 	 b'trump and putin : two imp ##ulsive leaders fan the global flames'
PRED SEQ:	 b'trump and putin : two leaders fan the global flames'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.2892975, 0.028133675, -0.08138494, -0.028808102, 0.054726854, -0.2450197, -0.101355076, -0.07140063, -0.18255445, 0.16547772, 0.064358436, -0.04318793]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'treasury department fines ex ##xon ##mo ##bil for russia sanctions violations'
GOLD SEQ: 	 b'treasury department fines ex ##xon ##mo ##bil for russia sanctions violations'
PRED SEQ:	 b'treasury department criticism ex ##xon ##mo ##bil for russia sanctions'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.40508595, 0.069018826, 0.062348947, -0.100166485, -0.037132233, -0.044963755, -0.049834445, -0.11006555, 0.24154454, 0.31208873, 0.36793363]
GOLD TOK: 	 []
PRED TOK: 	 [['criticism']]
################################################################################
IN SEQ: 	 b'the ultimate lawsuit : trump will eventually fire special counsel robert mueller and a lawyer games out what will happen next'
GOLD SEQ: 	 b'the ultimate lawsuit : trump will eventually fire special counsel robert mueller and a lawyer games out what will happen next'
PRED SEQ:	 b'the ultimate lawsuit : trump will eventually fire special counsel robert mueller and a lawyer games out what will happen next'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.23391838, 0.15555789, -0.040558152, 0.062297896, -0.20842963, -0.08000627, 0.05570659, -0.09127933, 0.06988624, -0.2670344, 0.024089813, -0.23317713, -0.060424957, -0.22511801, -0.15564188, -0.1642088, -0.21987924, -0.082695454, -0.047139034, -0.11274483, -0.058919463]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump butcher ##s names and titles of asian world leaders and gets dragged on twitter'
GOLD SEQ: 	 b'trump butcher ##s names and titles of asian world leaders and gets dragged on twitter'
PRED SEQ:	 b'trump butcher ##s names and titles of asian world leaders and gets been criticized on twitter'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.16401659, 0.29682904, 0.39598766, 0.30768865, 0.549291, 0.42987767, 0.5695959, 0.22618118, 0.29602396, 0.3262688, 0.32824326, 0.100510314, 0.2231802, 0.1789839, 0.16206095]
GOLD TOK: 	 []
PRED TOK: 	 [['been', 'criticized']]
################################################################################
IN SEQ: 	 b'trump celebrates made in america week by making the most h ##yp ##oc ##rit ##ical move yet'
GOLD SEQ: 	 b'trump celebrates made in america week by making the most h ##yp ##oc ##rit ##ical move yet'
PRED SEQ:	 b'trump celebrates made in america week by making the most controversial move yet'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.14070629, 0.2162894, 0.36252755, 0.48721638, 0.51476014, 0.27067184, 0.26811332, 0.29540187, 0.6028519, 0.3820489, 0.3909386, 0.38152152, 0.24583451, 0.24791145, 0.576298, 0.2965504, 0.13824588]
GOLD TOK: 	 []
PRED TOK: 	 [['controversial']]
################################################################################
IN SEQ: 	 b'shock video : this is exactly why every cop should wear a body camera'
GOLD SEQ: 	 b'shock video : this is exactly why every cop should wear a body camera'
PRED SEQ:	 b'shock video : this is exactly why every cop should wear a body camera'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.24527201, 0.2851871, 0.23243278, 0.0635178, 0.26875386, 0.20520344, 0.31006047, 0.10863446, 0.14486639, 0.24827431, 0.32264522, 0.36832726, 0.2553123, 0.34916347]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : gavin news ##om issues brutal warning to trump in the most class ##y way'
GOLD SEQ: 	 b'watch : gavin news ##om issues brutal warning to trump in the most class ##y way'
PRED SEQ:	 b'watch : gavin news ##om issues brutal warning to trump in the most conservative way'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.3380717, -0.4030677, -0.45083147, -0.49758652, -0.5356562, -0.22953057, 0.016195342, -0.0351298, -0.2922922, -0.3285653, 0.14375487, 0.004392296, 0.036382686, -0.17144124, -0.044760376, -0.061843425]
GOLD TOK: 	 []
PRED TOK: 	 [['conservative']]
################################################################################
IN SEQ: 	 b'chris christie issues statement about getting in baseball fans face , says he was very restrained'
GOLD SEQ: 	 b'chris christie issues statement about getting in baseball fans face , says he was very restrained'
PRED SEQ:	 b'chris christie issues statement about getting in baseball fans face ,'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.030198917, 0.021339063, 0.08907794, 0.176557, 0.110196725, -0.053659398, -0.0027710013, -0.11648742, -0.05048749, -0.08832103, 0.18776, 0.069771975, -0.0062786797, 0.18776691, 0.21275829, 0.046447802]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'az trump ##kin threatens to run over protesters and gets dealt a giant dose of karma'
GOLD SEQ: 	 b'az trump ##kin threatens to run over protesters and gets dealt a giant dose of karma'
PRED SEQ:	 b'az trump ##kin threatens to run over protesters and gets dealt a large dose of karma'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.15998362, -0.3411899, -0.08787945, -0.19393778, 0.26508483, -0.05741954, -0.14171132, -0.020090193, 0.14111426, 0.041738376, 0.25210565, 0.24200551, 0.2323904, 0.051398262, 0.1949316, -0.11286007]
GOLD TOK: 	 []
PRED TOK: 	 [['large']]
################################################################################
IN SEQ: 	 b'former italian prime minister reveals the one thing he likes about trump and its classic ( video )'
GOLD SEQ: 	 b'former italian prime minister reveals the one thing he likes about trump and its classic ( video )'
PRED SEQ:	 b'former italian prime minister reveals the one thing he likes about trump and its book ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.031110764, 0.06814343, 0.16849625, 0.22043076, 0.23977187, 0.52281445, 0.12295419, 0.3403095, -0.030157626, 0.007057905, 0.34905878, -0.11651631, 0.41741663, 0.016375113, 0.28644085, 0.050457958, 0.102987885, 0.24070087]
GOLD TOK: 	 []
PRED TOK: 	 [['book']]
################################################################################
IN SEQ: 	 b'fourth grade ##r makes heartbreak ##ing video about racist classmates calling her nut ##ella and servant'
GOLD SEQ: 	 b'fourth grade ##r makes heartbreak ##ing video about racist classmates calling her nut ##ella and servant'
PRED SEQ:	 b'fourth grade ##r makes video about racist classmates calling her nut ##ella and servant'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.3963228, 0.31739137, 0.5458205, 0.4705769, 0.47093314, 0.5887346, 0.5289956, 0.6418432, 0.5431101, 0.45163244, 0.14730477, 0.34028637, 0.43451148, 0.77307177, 0.6742966, 0.55849046]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : worlds most famous journalist makes ho ##rri ##fying prediction about america'
GOLD SEQ: 	 b'breaking : worlds most famous journalist makes ho ##rri ##fying prediction about america'
PRED SEQ:	 b'breaking : worlds most famous journalist makes a prediction about america'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.061849326, -0.027194146, -0.00835531, 0.018998154, 0.14537887, 0.12442868, 0.06257626, 0.14930515, 0.15591878, 0.19605346, 0.11929814, 0.09108935, 0.09123261]
GOLD TOK: 	 []
PRED TOK: 	 [['a']]
################################################################################
IN SEQ: 	 b'trump made up fake quote on a monument at his golf course for a war that never happened'
GOLD SEQ: 	 b'trump made up fake quote on a monument at his golf course for a war that never happened'
PRED SEQ:	 b'trump made up quote on a monument at his golf course for a war that never happened'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.055718184, 0.04370293, 0.12662691, 0.086189836, 0.27225417, 0.09911701, 0.3385483, 0.18295045, 0.07107873, -0.23234987, -0.07320456, 0.113617584, 0.12147194, 0.11111556, 0.084457725, 0.16107085, 0.0017398596, -0.07287121]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'first female marine f - 18 pilot announces her new mission to save obama ##care in congress'
GOLD SEQ: 	 b'first female marine f - 18 pilot announces her new mission to save obama ##care in congress'
PRED SEQ:	 b'first female marine f - 18 pilot announces her new mission to save the anti - neutrality in congress'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.12356539, 0.21047822, 0.0782191, 0.0019669235, -0.09571913, -0.20862387, 0.106326595, 0.28649974, 0.119654045, 0.21735781, 0.0033596829, 0.017844975, -0.034532636, 0.02808483, 0.09188415, 0.049780257, 0.011035278]
GOLD TOK: 	 []
PRED TOK: 	 [['the', 'anti', '-', 'neutrality']]
################################################################################
IN SEQ: 	 b"racism is rising in macro ##n ' s france , a plague as deep as the origins of the french republic itself"
GOLD SEQ: 	 b"racism is rising in macro ##n ' s france , a plague as deep as the origins of the french republic itself"
PRED SEQ:	 b"racism is rising in macro ##n ' s france , a plague as deep as the origins of the french republic itself"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.039511077, 0.014836252, 0.20641541, 0.29748884, 0.22931604, 0.08825572, 0.058291383, 0.14166334, 0.17298368, 0.12246343, 0.37181616, 0.26998383, 0.09555377, 0.292134, 0.35353416, 0.5864828, 0.31771588, 0.35467556, 0.4724307, 0.08643548, 0.09993282, 0.3413645]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'new york times : trump ##s family involved in treason ##ous actions to win election'
GOLD SEQ: 	 b'new york times : trump ##s family involved in treason ##ous actions to win election'
PRED SEQ:	 b'new york times : trump ##s family involved in actions to win election'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.20014316, -0.26936162, -0.030072363, -0.05963189, 0.020077791, 0.10707323, 0.20750926, 0.29113418, 0.44242573, 0.22837481, 0.24672325, 0.40903497, 0.13149503, -0.060715195, -0.15682384]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'remember eric trump ? he must have been feeling left out lately , keith ol ##berman ##n scratched that it ##ch for him'
GOLD SEQ: 	 b'remember eric trump ? he must have been feeling left out lately , keith ol ##berman ##n scratched that it ##ch for him'
PRED SEQ:	 b'remember eric trump ? he must have been feeling left out lately , keith ol ##berman ##n scratched that it ##ch for him'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.31901163, -0.34532475, -0.2997829, -0.26800996, -0.31531528, -0.27885294, -0.09879041, 0.03483525, -0.13060886, -0.022466674, -0.12293051, -0.052501433, -0.14483237, -0.32728615, -0.10460652, -0.17431307, 0.25863737, -0.06862104, -0.11313475, -0.15468103, -0.024040997, -0.16514185, -0.11658939]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fox news has a bizarre defense for go ##p health care bill'
GOLD SEQ: 	 b'fox news has a bizarre defense for go ##p health care bill'
PRED SEQ:	 b'fox news has a defense for go ##p health care bill'
