################################################################################
IN SEQ: 	 b'cops in republican senate office assault disabled protesters ; reports of serious injuries'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [2.9573653e-06, 2.8563622e-06, 2.0032083e-05, 0.0024185071, 2.0056502e-06, 1.1091399e-06, 1.5849854e-06, 1.6827264e-06, 0.99649125, 4.0269515e-06, 7.0676276e-07, 6.456776e-07, 6.4210553e-07, 6.2682574e-07, 6.515744e-07, 9.682168e-07, 7.6540715e-07]
GOLD TOK: 	 [['den', '##oun', '##ces']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'top go ##p website makes request of america ; here ##s what they want us to do to trump ( image )'
GOLD SEQ: 	 b'top go ##p website makes creepy request of america ; here ##s what they want us to do to trump ( image )'
PRED SEQ:	 b'top go ##p website makes request of america ; what they want us to do to trump ( image )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.02066394, 0.0022153945, 0.00020379621, 0.00046333944, 0.0005062801, 0.0011295322, 3.8512103e-06, 0.027106795, 3.7406477e-05, 0.8529791, 0.7073377, 2.1385682e-05, 0.0059072766, 3.3930588e-05, 0.0018818114, 1.6856592e-06, 1.02503855e-05, 3.7593434e-06, 0.002669835, 4.5993456e-06, 0.0014363041, 1.6547434e-06]
GOLD TOK: 	 [['creepy']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'charity database stops linking anti - profits christian non - profits to sp ##lc hate list after staff ##ers threatened'
GOLD SEQ: 	 b'charity database stops linking anti - lgbt ##q christian non - profits to sp ##lc hate list after staff ##ers threatened'
PRED SEQ:	 b'charity database stops linking anti - profits christian non - profits to sp ##lc hate list after staff ##ers'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00022537379, 0.00013816328, 0.0028193723, 0.00085447053, 0.045541078, 0.0015606642, 0.03402794, 0.015169574, 5.6774024e-05, 8.443943e-06, 0.00013953344, 1.1855841e-05, 0.00012583353, 7.245533e-05, 0.08332077, 0.00076096976, 0.00028451282, 0.000109336004, 3.810136e-05, 0.6261611]
GOLD TOK: 	 [['lgbt', '##q']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'latest time magazine cover will send trump into a rage ; just wait for it'
GOLD SEQ: 	 b'latest time magazine cover will send trump into a jealous rage ; just wait for it'
PRED SEQ:	 b'latest time magazine cover will send trump into a rage ; just wait for it'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.09395423, 6.895126e-05, 4.3757234e-05, 0.0055256505, 0.50856143, 0.0013159197, 0.04943808, 6.558699e-05, 0.00019700591, 0.06492991, 6.3005165e-05, 0.036035735, 1.02860795e-05, 9.760631e-06, 0.0003448298]
GOLD TOK: 	 [['jealous']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : trump ##s moscow deal discovered :'
GOLD SEQ: 	 b'breaking : trump ##s ho ##rri ##fying moscow deal discovered'
PRED SEQ:	 b'breaking : trump ##s moscow deal deal :'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.032965835, 0.00071146013, 0.037460163, 0.029161345, 0.015818613, 0.008054718, 0.5499148, 0.00047678646]
GOLD TOK: 	 [['ho', '##rri', '##fying']]
PRED TOK: 	 [['deal']]
################################################################################
IN SEQ: 	 b'president trump thanked putin for re ##tal ##iating against the united states'
GOLD SEQ: 	 b'president trump just thanked putin for re ##tal ##iating against the united states'
PRED SEQ:	 b'president trump thanked putin for against the united states'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.003717369, 0.0024753814, 0.15899232, 0.018937005, 0.0036072019, 0.61905974, 0.53891456, 0.66774756, 0.029764019, 0.0001534254, 0.00019031946, 4.539501e-05]
GOLD TOK: 	 [['just']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump and putin : two leaders fan the global flames'
GOLD SEQ: 	 b'trump and putin : two imp ##ulsive leaders fan the global flames'
PRED SEQ:	 b'trump and putin : two leaders the global flames'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0005905181, 7.785084e-05, 0.0005063195, 0.0002658232, 0.01225512, 0.04463664, 0.78229916, 0.0034691389, 0.0008890104, 0.0058898292]
GOLD TOK: 	 [['imp', '##ulsive']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'treasury department involvement ex ##xon ##mo ##bil for russia'
GOLD SEQ: 	 b'treasury department fines ex ##xon ##mo ##bil for russia sanctions violations'
PRED SEQ:	 b'treasury department ex ##xon ##mo ##bil for russia'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.14499697, 0.0151133705, 0.6783303, 0.000296081, 0.00034871, 0.00020939075, 0.00021950064, 0.044921905, 0.42956343]
GOLD TOK: 	 [['fines'], ['sanctions', 'violations']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the ultimate lawsuit : trump will eventually fire special counsel robert mueller and a lawyer games out what will happen next'
GOLD SEQ: 	 b'the ultimate lawsuit : trump will eventually fire special counsel robert mueller and a lawyer games out what will happen next'
PRED SEQ:	 b'the ultimate lawsuit : trump will eventually fire special counsel robert mueller and a lawyer games out what will happen next'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0029434157, 0.30285066, 0.0004332154, 0.00034748524, 0.002451664, 0.0077045877, 0.07467274, 0.002924663, 0.0008482468, 1.2363697e-05, 8.95567e-06, 1.3119149e-05, 0.00017822524, 0.0119291665, 0.0021359741, 0.5698654, 0.015412262, 0.00033010365, 0.010352795, 0.00048135163, 0.0029507237]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump names and titles of asian world leaders and gets dragged on twitter'
GOLD SEQ: 	 b'trump butcher ##s names and titles of asian world leaders and gets dragged on twitter'
PRED SEQ:	 b'trump names and titles of asian world leaders and gets on twitter'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [5.095573e-05, 2.2216764e-06, 2.9244138e-06, 3.0090264e-06, 1.4275602e-06, 6.9658345e-05, 3.726914e-05, 1.7755017e-05, 8.747497e-05, 0.010177148, 0.9842067, 3.998724e-06, 1.1744903e-05]
GOLD TOK: 	 [['butcher', '##s']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump celebrates made in america week by making the most yet controversial move yet trump celebrates made in america week'
GOLD SEQ: 	 b'trump celebrates made in america week by making the most h ##yp ##oc ##rit ##ical move yet'
PRED SEQ:	 b'trump celebrates made in america week by making the most yet controversial move trump celebrates made in america week'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0018923745, 0.0040024174, 1.0206014e-05, 5.7168745e-06, 5.6644503e-06, 4.695391e-05, 0.00060436135, 0.005193762, 0.0004511093, 0.0015656645, 0.045975827, 0.02959348, 0.013025355, 0.73373353, 0.0037069127, 0.0018297934, 1.0717575e-05, 6.095047e-06, 5.5979026e-06, 1.6099568e-05]
GOLD TOK: 	 [['h', '##yp', '##oc', '##rit', '##ical']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'shock video : this is exactly why every cop should wear a body camera'
GOLD SEQ: 	 b'shock video : this is exactly why every cop should wear a body camera'
PRED SEQ:	 b'shock video : this is exactly why every cop should wear a body camera'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.022065146, 0.0054802285, 0.00037915062, 0.03801655, 0.057421073, 0.40899637, 0.01018674, 0.015454628, 0.20219137, 0.073271856, 0.00052049226, 0.00025013427, 0.017298354, 0.0051754196]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : gavin news ##om issues warning to trump in the most class ##y way'
GOLD SEQ: 	 b'watch : gavin news ##om issues brutal warning to trump in the most class ##y way'
PRED SEQ:	 b'watch : gavin news ##om issues warning to trump in the most way to trump'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00016153086, 2.5930263e-05, 6.86739e-06, 4.9487167e-06, 6.3814814e-06, 0.00035100864, 0.00052602263, 2.8284878e-06, 0.00015264441, 1.3859969e-05, 3.141024e-05, 0.0018171942, 0.9870402, 0.90498924, 0.0053217043]
GOLD TOK: 	 [['brutal']]
PRED TOK: 	 [['to', 'trump']]
################################################################################
IN SEQ: 	 b'chris christie issues statement about getting in baseball fans face , says he was restrained restrained'
GOLD SEQ: 	 b'chris christie issues statement about getting in baseball fans face , says he was very restrained'
PRED SEQ:	 b'chris christie issues statement about getting in baseball fans face , says he was restrained restrained restrained'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0013516394, 0.0008018501, 0.2723196, 0.19835801, 0.0006955223, 0.0074310238, 0.00015873834, 0.0051487964, 0.0042098635, 0.07632005, 4.127529e-05, 0.13269484, 0.0012914324, 0.005782135, 0.09412481, 0.12206955]
GOLD TOK: 	 [['very']]
PRED TOK: 	 [['restrained']]
################################################################################
IN SEQ: 	 b'az trump ##kin threatens to run over protesters and gets dealt a dose of karma'
GOLD SEQ: 	 b'az trump ##kin threatens to run over protesters and gets dealt a giant dose of karma'
PRED SEQ:	 b'az trump ##kin threatens to run over protesters and gets dealt a dose of karma'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.023725493, 0.020408977, 0.039511986, 0.099908926, 0.00022926829, 0.0007083187, 0.00032451382, 0.019889137, 0.0039253323, 0.046101928, 0.017211825, 0.00089578115, 0.033039697, 0.0020664877, 0.47304532]
GOLD TOK: 	 [['giant']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'former italian prime minister reveals the one thing he likes about trump and its ( video )'
GOLD SEQ: 	 b'former italian prime minister reveals the one thing he likes about trump and its classic ( video )'
PRED SEQ:	 b'former italian prime minister reveals the one thing he likes about trump and its ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0026762162, 0.0012301338, 0.00013471772, 8.9476634e-05, 0.34058875, 0.020406013, 0.23921663, 0.13048647, 0.010901129, 0.07348, 0.00014835133, 0.001363015, 4.6957717e-05, 0.02398943, 3.5470803e-05, 0.0004936021, 6.0693046e-06]
GOLD TOK: 	 [['classic']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fourth grade ##r makes video about racist classmates calling her nut ##ella and servant'
GOLD SEQ: 	 b'fourth grade ##r makes heartbreak ##ing video about racist classmates calling her nut ##ella and servant'
PRED SEQ:	 b'fourth grade ##r makes video about classmates calling her nut ##ella and servant'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [3.3663826e-05, 8.74376e-05, 5.5511944e-05, 3.1601205e-05, 0.00013952256, 5.7657967e-06, 0.9085663, 0.0001646131, 7.250135e-06, 1.5614902e-05, 0.000120855286, 3.5368594e-05, 3.4570633e-06, 0.0008818561]
GOLD TOK: 	 [['heartbreak', '##ing']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : worlds most famous journalist makes prediction about america'
GOLD SEQ: 	 b'breaking : worlds most famous journalist makes ho ##rri ##fying prediction about america'
PRED SEQ:	 b'breaking : worlds most famous journalist makes prediction about america'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00991949, 0.009376051, 0.12042693, 0.023599328, 0.18297398, 0.10985708, 0.1450194, 0.17096591, 0.02351809, 0.048536018]
GOLD TOK: 	 [['ho', '##rri', '##fying']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump made up a monument on a monument at his golf course for a war that never happened that never happened'
GOLD SEQ: 	 b'trump made up fake quote on a monument at his golf course for a war that never happened'
PRED SEQ:	 b'trump made up a monument on a monument at his golf course for a war that never happened that never happened'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.23403604, 0.086224616, 0.0055466495, 0.005362749, 0.005492719, 0.0072686384, 0.0038724744, 0.0024383618, 0.0004785989, 0.1376081, 0.0029658843, 0.0012789955, 0.14128332, 0.012924354, 0.0848397, 0.008982894, 0.030082086, 0.016852086, 0.0015930366, 0.008763952, 0.0027940576]
GOLD TOK: 	 [['fake', 'quote']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'first female marine f - 18 pilot announces her new mission to save save ##rs in congress'
GOLD SEQ: 	 b'first female marine f - 18 pilot announces her new mission to save obama ##care in congress'
PRED SEQ:	 b'first marine f - 18 pilot announces her new mission to save save ##rs in congress'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.06734194, 0.3103654, 0.010479187, 0.00055746123, 4.9160633e-05, 0.00014745891, 0.0010755617, 0.007888592, 0.007981113, 0.0023311158, 0.001111395, 0.00020940095, 0.14540268, 0.14272197, 0.10080679, 0.0071501043, 0.05046328]
GOLD TOK: 	 [['obama', '##care']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"racism is rising in macro ##n ' s france , a plague as deep as the origins of the french republic itself"
GOLD SEQ: 	 b"racism is rising in macro ##n ' s france , a plague as deep as the origins of the french republic itself"
PRED SEQ:	 b"racism is rising in macro ##n ' s france , a plague as deep as the origins of the french republic itself"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.14499515, 0.072850466, 0.08375998, 0.0005754506, 0.010778118, 0.0004490765, 0.0003111689, 0.016667886, 0.0168246, 7.043526e-05, 0.045529068, 0.19284083, 0.0018167883, 0.10452106, 0.00019929426, 0.00022858294, 0.0007779177, 1.1829617e-05, 2.3310617e-05, 0.00039642875, 0.00088498904, 0.024183434]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'new york times : trump ##s family involved in actions to win election'
GOLD SEQ: 	 b'new york times : trump ##s family involved in treason ##ous actions to win election'
PRED SEQ:	 b'new york times : trump ##s family involved in actions to win election'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [9.566828e-05, 1.881914e-05, 5.385778e-06, 4.4566114e-06, 0.0010668483, 0.001485377, 0.020411424, 0.0063002883, 4.8455633e-05, 0.7639353, 0.0056747277, 0.0043699215, 0.00036518433]
GOLD TOK: 	 [['treason', '##ous']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'remember eric trump ? he must have been feeling left out lately , keith ol ##berman ##n stated that it for him'
GOLD SEQ: 	 b'remember eric trump ? he must have been feeling left out lately , keith ol ##berman ##n scratched that it ##ch for him'
PRED SEQ:	 b'remember eric trump ? he must have been feeling left out lately , keith ol ##berman ##n stated that it for him'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
