################################################################################
IN SEQ: 	 b'cops in republican senate office assault disabled protesters ; reports of serious injuries'
PRED DIST: 	 [0.19077176, 0.16278541, -0.0745668, 0.036033392, -0.03157568, 0.10359673, 0.22565833, -0.103862405, 0.20964974, 0.2518284, 0.06824577, -0.17869532, 0.059536725, 0.148045, 0.0019268394, -0.023273557, 0.1486069]
GOLD TOK: 	 [['w', '##h']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mitch mcconnell takes aim at trump for praising the'
GOLD SEQ: 	 b'mitch mcconnell takes aim at trump for praising nazis'
PRED SEQ:	 b'mitch mcconnell takes aim at trump for praising the'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.20262718, 0.20972109, 0.07712802, 0.2718442, 0.08039987, 0.042781025, 0.38137293, 0.0667226, 0.23512954]
GOLD TOK: 	 [['nazis']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'bacteria found in fe ##cal bacteria found in drinks at mcdonald ##s , burger king and k ##fc'
GOLD SEQ: 	 b'fe ##cal bacteria found in drinks at mcdonald ##s , burger king and k ##fc'
PRED SEQ:	 b'bacteria found in fe ##cal bacteria found in drinks at mcdonald ##s , burger king and k ##fc'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.049462914, -0.12496945, -0.08808455, -0.094325036, -0.24263771, -0.09795779, -0.26012135, -0.08087605, 0.061034337, 0.09621252, 0.18026185, 0.22091602, 0.3707007, 0.21986541, 0.064492404, 0.087721884, 0.021906912, 0.057265177]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'scar ##am ##ucci ##s wife filed for divorce all because of donald trump ! ( t ##wee ##t )'
GOLD SEQ: 	 b'scar ##am ##ucci ##s wife just filed for divorce all because of donald trump ! ( t ##wee ##t )'
PRED SEQ:	 b'scar ##ucci ##s wife filed for divorce all because of donald trump ! ( t ##wee ##t )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.3674456, 0.43589374, 0.2495956, 0.3150612, 0.3790534, 0.23211321, 0.21097898, 0.32377738, 0.2639691, 0.38513482, 0.1691573, 0.20127662, 0.3264005, 0.36183512, 0.49943382, 0.2896082, 0.39293456, 0.043783113, 0.12532231]
GOLD TOK: 	 [['just']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'how bush , clinton , obama has been north korea'
GOLD SEQ: 	 b'how bush , clinton , obama handled north korea'
PRED SEQ:	 b'how bush , clinton , obama has been north korea'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [-0.1011523, -0.13390124, -0.15250313, -0.17290679, -0.13982904, -0.1581722, -0.25137386, -0.164435, -0.09298569, -0.17936172]
GOLD TOK: 	 [['handled']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'paul ryan bra ##gs about giving people a choice to live or die ( video )'
GOLD SEQ: 	 b'paul ryan bra ##gs about trump ##care giving people a choice to live or die ( video )'
PRED SEQ:	 b'paul ryan claims about giving people a choice to live or die ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.5347961, 0.33839655, 0.45219657, 0.23636688, 0.42293912, 0.111098886, 0.2823311, 0.2520335, 0.22715959, 0.15675278, 0.09527477, 0.023028314, 0.089515, 0.3069532, 0.49699894, 0.29856893]
GOLD TOK: 	 [['trump', '##care']]
PRED TOK: 	 [['claims']]
################################################################################
IN SEQ: 	 b'robert lee iv honors heather hey ##er , den ##oun ##ces racism at mtv video music awards ( video )'
GOLD SEQ: 	 b'robert lee iv honors heather hey ##er , den ##oun ##ces racism at mtv video music awards ( video )'
PRED SEQ:	 b'robert lee iv honors heather hey ##er , den ##oun ##ces racism at mtv video music awards ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.4663568, 0.42588854, 0.56633, 0.5023575, 0.48838073, 0.33999246, 0.32119048, 0.37020034, 0.48236796, 0.27919856, 0.16128698, 0.17307103, 0.16324624, 0.38510668, 0.32631063, 0.3843203, 0.5948778, 0.40304977, 0.49290827, 0.45330033]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'top go ##p website makes request of america ; here ##s what they want us to do to trump ( image )'
GOLD SEQ: 	 b'top go ##p website makes creepy request of america ; here ##s what they want us to do to trump ( image )'
PRED SEQ:	 b'top go ##p website makes request of america ; here ##s what they want us to do to trump ( image )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.25335792, 0.22343984, 0.14688222, 0.15759212, -3.1277537e-05, 0.24073474, 0.26007116, 0.18733564, -0.007841274, 0.09790696, 0.1756283, 0.38373786, 0.23990092, 0.15867731, 0.14048627, 0.020483501, 0.120340124, -0.0021065027, -0.11483875, 0.26256222, 0.36216795, 0.025140747]
GOLD TOK: 	 [['creepy']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'charity database stops linking anti - lgbt ##q christian non - profits to sp ##lc hate list after staff ##ers threatened'
GOLD SEQ: 	 b'charity database stops linking anti - lgbt ##q christian non - profits to sp ##lc hate list after staff ##ers threatened'
PRED SEQ:	 b'charity database stops linking anti - lgbt ##q christian non - profits to sp ##lc hate list after staff ##ers threatened'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.3396731, 0.2865649, 0.16472776, 0.115356706, 0.026771272, -0.0032341667, 0.09208641, 0.12945405, 0.15923561, 0.13802376, -0.11531271, 0.14514434, 0.10224773, 0.21377774, 0.35651225, 0.3051569, 0.402168, 0.19502097, 0.12452102, 0.39086646, 0.2556155]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'latest time magazine cover will send trump into a jealous rage ; just wait for it'
GOLD SEQ: 	 b'latest time magazine cover will send trump into a jealous rage ; just wait for it'
PRED SEQ:	 b'latest time magazine cover will send trump into a jealous rage ; just wait for it'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.3336553, 0.42715526, 0.29424936, 0.30635577, 0.25338164, 0.29477912, 0.3081514, 0.26037946, 0.27014905, 0.29827076, 0.41951668, 0.32806098, 0.35688984, 0.063174084, 0.019180778, 0.15511397]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : trump ##s moscow deal discovered'
GOLD SEQ: 	 b'breaking : trump ##s ho ##rri ##fying moscow deal discovered'
PRED SEQ:	 b'breaking : trump ##s moscow deal'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.056626514, -0.33964923, -0.38752508, -0.2043967, -0.23069926, -0.18264961, -0.23242792]
GOLD TOK: 	 [['ho', '##rri', '##fying']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'president trump just thanked putin for re ##tal ##iating against the united states'
GOLD SEQ: 	 b'president trump just thanked putin for re ##tal ##iating against the united states'
PRED SEQ:	 b'president trump just thanked putin for re ##tal ##iating against the united states'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.06672647, -0.25602585, -0.17654088, -0.2494888, -0.2610866, -0.19308096, -0.097627476, -0.34808934, -0.3508107, -0.36145347, -0.22328764, -0.40522674, -0.29992673]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump and putin : two leaders fan the global flames'
GOLD SEQ: 	 b'trump and putin : two imp ##ulsive leaders fan the global flames'
PRED SEQ:	 b'trump and putin : two leaders in the global flames'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.27238825, -0.0144740045, 0.12174386, -0.006718397, 0.20151682, 0.40942004, 0.11401032, -0.08814939, 0.04044053, -0.028579488]
GOLD TOK: 	 [['imp', '##ulsive']]
PRED TOK: 	 [['in']]
################################################################################
IN SEQ: 	 b'treasury department criticism ex ##xon ##mo ##bil for russia sanctions'
GOLD SEQ: 	 b'treasury department fines ex ##xon ##mo ##bil for russia sanctions violations'
PRED SEQ:	 b'treasury department criticism of ex ##xon ##mo ##bil for russia sanctions'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.34019715, -0.25837284, -0.19608484, -0.2056793, -0.5028479, -0.31488252, -0.2927707, -0.1497215, -0.17683358, -0.1687468]
GOLD TOK: 	 [['fines'], ['violations']]
PRED TOK: 	 [['of']]
################################################################################
IN SEQ: 	 b'the ultimate lawsuit : trump will eventually fire special counsel robert mueller and a lawyer games out what will happen next'
GOLD SEQ: 	 b'the ultimate lawsuit : trump will eventually fire special counsel robert mueller and a lawyer games out what will happen next'
PRED SEQ:	 b'the ultimate lawsuit : trump will eventually fire special counsel robert mueller and a lawyer games out what will happen next'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.5328034, 0.28607625, 0.275789, -0.015755355, 0.23522893, 0.46976644, 0.40248895, 0.58150136, 0.44471908, 0.3344333, 0.4640137, 0.5699711, 0.12934855, 0.54811555, 0.53999376, 0.35189795, 0.48546532, 0.6136025, 0.6373929, 0.47193328, 0.5136738]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump butcher ##s names and titles of asian world leaders and gets been criticized on twitter'
GOLD SEQ: 	 b'trump butcher ##s names and titles of asian world leaders and gets dragged on twitter'
PRED SEQ:	 b'trump butcher ##s names and titles of asian world leaders and gets been criticized on twitter'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.20099717, 0.026303828, 0.06575516, 0.23056301, -0.16799252, 0.13667487, -0.06568557, 0.040679216, -0.029705822, -0.034370422, -0.0942148, 0.101695746, 0.052298278, 0.07205668, 0.122928485, 0.10977988]
GOLD TOK: 	 [['dragged']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump celebrates made in america week by making the most controversial move yet'
GOLD SEQ: 	 b'trump celebrates made in america week by making the most h ##yp ##oc ##rit ##ical move yet'
PRED SEQ:	 b'trump celebrates made in america week by making the most controversial move'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.49876383, 0.23569387, 0.2700366, 0.34948784, 0.42293054, 0.52912515, 0.39366254, 0.19437535, 0.37290663, -0.10031162, 0.051442683, 0.4901763, 0.44632062]
GOLD TOK: 	 [['h', '##yp', '##oc', '##rit', '##ical']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'shock video : this is exactly why every cop should wear a body camera'
GOLD SEQ: 	 b'shock video : this is exactly why every cop should wear a body camera'
PRED SEQ:	 b'shock video : this is exactly why every cop should wear a body camera'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.31133446, 0.32653806, -0.07368436, 0.28508973, 0.28730294, 0.26880735, 0.2597118, 0.32222483, 0.42063326, 0.31817728, 0.30380705, 0.34636977, 0.3370654, 0.37453753]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : gavin news ##om issues brutal warning to trump in the most conservative way'
GOLD SEQ: 	 b'watch : gavin news ##om issues brutal warning to trump in the most class ##y way'
PRED SEQ:	 b'watch : gavin news ##om issues warning to trump in the most conservative way'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.31004235, 0.061135724, 0.32706407, 0.4460955, 0.11505069, 0.27852613, 0.21727851, 0.6194428, 0.11019031, 0.09501551, 0.11378535, 0.13642165, -0.03328339, -0.048748896, 0.38710365]
GOLD TOK: 	 [['class', '##y']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'chris christie issues statement about getting in baseball fans face ,'
GOLD SEQ: 	 b'chris christie issues statement about getting in baseball fans face , says he was very restrained'
PRED SEQ:	 b"chris christie ' s statement about getting in baseball fans face ,"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.44731644, 0.33715472, 0.36924666, 0.36046943, 0.14065996, 0.032885134, -0.07249084, 0.045693815, -0.1150462, 0.45976943, 0.39932698]
GOLD TOK: 	 [['says', 'he', 'was', 'very', 'restrained']]
PRED TOK: 	 [["'", 's']]
################################################################################
IN SEQ: 	 b'az trump ##kin threatens to run over protesters and gets dealt a large dose of karma'
GOLD SEQ: 	 b'az trump ##kin threatens to run over protesters and gets dealt a giant dose of karma'
PRED SEQ:	 b'az trump ##kin threatens to run over protesters and gets dealt a large dose of karma'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.38348448, 0.24754296, 0.17032394, 0.33619586, 0.04638529, 0.33264476, 0.059315026, 0.3981975, 0.1823656, 0.21678114, 0.2798068, 0.25444078, 0.29897922, 0.365359, 0.17309338, 0.47670943]
GOLD TOK: 	 [['giant']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'former italian prime minister reveals the one thing he likes about trump and its book ( video )'
GOLD SEQ: 	 b'former italian prime minister reveals the one thing he likes about trump and its classic ( video )'
PRED SEQ:	 b'former italian prime minister reveals the one thing he likes about trump and its book ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.0277085, -0.14171317, -0.23948067, -0.12659243, -0.1275289, 0.017159551, -0.041747198, 0.14147934, 0.13846439, 0.034026973, 0.009830818, 0.05242186, -0.19841033, 0.13773432, 0.21588022, -0.07846922, 0.13697357, -0.07265444]
GOLD TOK: 	 [['classic']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fourth grade ##r makes video about racist classmates calling her nut ##ella and servant'
GOLD SEQ: 	 b'fourth grade ##r makes heartbreak ##ing video about racist classmates calling her nut ##ella and servant'
PRED SEQ:	 b'fourth grade ##r makes video about classmates calling her nut ##ella and servant'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.34943593, 0.29381174, 0.13640222, 0.08505404, 0.30177987, 0.20951112, 0.114830226, 0.10612176, 0.058685333, 0.09102757, 0.0069604516, 0.02776812, -0.1543943, 0.123337865]
GOLD TOK: 	 [['heartbreak', '##ing']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : worlds most famous journalist makes a prediction about america'
GOLD SEQ: 	 b'breaking : worlds most famous journalist makes ho ##rri ##fying prediction about america'
PRED SEQ:	 b'breaking : worlds most famous journalist makes a prediction about america'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.11374608, -0.27589333, -0.18356685, -0.11724618, -0.014020383, 0.1236559, -0.054172352, 0.10616207, 0.24073315, 0.17725185, 0.2149983]
GOLD TOK: 	 [['ho', '##rri', '##fying']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump made up quote on a monument at his golf course for a war that never happened'
GOLD SEQ: 	 b'trump made up fake quote on a monument at his golf course for a war that never happened'
PRED SEQ:	 b'trump made up quote on a monument at his golf course for a war that never happened'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.36664099, -0.08471346, -0.122899786, 0.21659374, 0.13948706, 0.32402298, 0.5516341, 0.3968495, 0.35388744, 0.42975682, 0.21814533, 0.075815834, 0.17211199, 0.050383512, 0.131183, 0.45389152, 0.448569]
GOLD TOK: 	 [['fake']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'first female marine f - 18 pilot announces her new mission to save the anti - neutrality in congress'
GOLD SEQ: 	 b'first female marine f - 18 pilot announces her new mission to save obama ##care in congress'
PRED SEQ:	 b'first female marine f - 18 pilot announces her new mission to save the anti - neutrality in congress'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.1237039, -0.10699865, -0.044627458, -0.18973827, -0.30252594, -0.1613804, -0.045469105, -0.20108235, -0.14697224, -0.10746199, -0.028059721, -0.221239, -0.081196874, -0.034429118, -0.009120744, -0.22406758, -0.144636, -0.0951244, -0.050753772]
GOLD TOK: 	 [['obama', '##care']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"racism is rising in macro ##n ' s france , a plague as deep as the origins of the french republic itself"
GOLD SEQ: 	 b"racism is rising in macro ##n ' s france , a plague as deep as the origins of the french republic itself"
PRED SEQ:	 b"racism is rising in macro ##n ' s france , a plague as deep as the origins of the french republic itself"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.04768517, -0.021529771, -0.24874543, -0.30386716, -0.19204073, -0.038036235, -0.14932287, -0.23330463, -0.09200946, 0.064168796, 0.013519872, -0.09101489, -0.30170754, -0.18291986, -0.12751234, -0.0797974, -0.115302175, -0.12860587, -0.0022881702, -0.03052719, 0.14796086, 0.016894162]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'new york times : trump ##s family involved in actions to win election'
GOLD SEQ: 	 b'new york times : trump ##s family involved in treason ##ous actions to win election'
PRED SEQ:	 b'new york times : trump ##s family involved in actions to win election'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.06481737, -0.3955385, -0.28702188, -0.35750318, -0.40015644, -0.23576283, -0.0884895, -0.15672448, -0.09269342, -0.31338525, -0.32316732, -0.26250088, -0.25214022]
GOLD TOK: 	 [['treason', '##ous']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'remember eric trump ? he must have been feeling left out lately , keith ol ##berman ##n scratched that it ##ch for him'
GOLD SEQ: 	 b'remember eric trump ? he must have been feeling left out lately , keith ol ##berman ##n scratched that it ##ch for him'
PRED SEQ:	 b'remember eric trump ? he must have been feeling left out lately , keith ol ##berman ##n scratched that it ##ch for him'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.36888546, 0.13472757, 0.11090262, 0.31788507, 0.46273118, 0.449377, 0.44759682, 0.3432977, 0.05719178, 0.33692777, 0.39995676, 0.33578104, 0.40063524, 0.2915576, 0.125336, 0.1269791, 0.09044125, 0.28598037, 0.20071495, 0.23998939, 0.09295651, 0.2249479, 0.6184826]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fox news has a defense for go ##p health care bill'
GOLD SEQ: 	 b'fox news has a bizarre defense for go ##p health care bill'
PRED SEQ:	 b'fox news has a campaign for go ##p health care bill'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.13301969, 0.2139332, 0.081389666, 0.07589178, 0.03088931, -0.07498826, 0.07669993, -0.10704777, -0.10288794, -0.14360996, -0.0121200085]
GOLD TOK: 	 [['bizarre']]
PRED TOK: 	 [['campaign']]
################################################################################
IN SEQ: 	 b'trump just took another shot at mcconnell as go ##p civil war heats up ( t ##wee ##ts )'
GOLD SEQ: 	 b'trump just took another brutal shot at mcconnell as go ##p civil war heats up ( t ##wee ##ts )'
